file,shape,min,max,mean,median,std,contrast
samples_epoch_0.png,"(122, 122)",0.0,1.0,0.4682343304157257,0.5058823823928833,0.28168272972106934,0.6015849445621075
samples_epoch_10.png,"(122, 122)",0.0,1.0,0.4195702075958252,0.4941176474094391,0.183962881565094,0.4384555286579151
samples_epoch_100.png,"(122, 122)",0.0,1.0,0.2747996151447296,0.32156863808631897,0.12182427942752838,0.44332039886650787
samples_epoch_15.png,"(122, 122)",0.0,1.0,0.3552410900592804,0.4156862795352936,0.15566734969615936,0.4382019695079837
samples_epoch_20.png,"(122, 122)",0.0,1.0,0.33363527059555054,0.3921568691730499,0.1452634632587433,0.43539598989484257
samples_epoch_25.png,"(122, 122)",0.0,1.0,0.3176531195640564,0.37254902720451355,0.13910527527332306,0.43791564548483936
samples_epoch_30.png,"(122, 122)",0.0,1.0,0.444156676530838,0.5215686559677124,0.1935395896434784,0.43574620288878807
samples_epoch_35.png,"(122, 122)",0.0,1.0,0.3425304889678955,0.40392157435417175,0.14953957498073578,0.4365730217639736
samples_epoch_40.png,"(122, 122)",0.0,1.0,0.3106607496738434,0.364705890417099,0.1363726407289505,0.43897607432662383
samples_epoch_45.png,"(122, 122)",0.0,1.0,0.40201452374458313,0.4745098054409027,0.1752154678106308,0.4358436153503659
samples_epoch_5.png,"(122, 122)",0.0,1.0,0.42078348994255066,0.4901960790157318,0.19118216633796692,0.4543480587144432
samples_epoch_50.png,"(122, 122)",0.0,1.0,0.31388092041015625,0.364705890417099,0.14100296795368195,0.44922438508586604
samples_epoch_55.png,"(122, 122)",0.0,1.0,0.2952711284160614,0.3450980484485626,0.1297496259212494,0.43942535873052874
samples_epoch_60.png,"(122, 122)",0.0,1.0,0.3833828568458557,0.45098039507865906,0.1674913913011551,0.4368776118743389
samples_epoch_65.png,"(122, 122)",0.0,1.0,0.357801228761673,0.41960784792900085,0.15747427940368652,0.4401166411516485
samples_epoch_70.png,"(122, 122)",0.0,1.0,0.3362937271595001,0.3960784375667572,0.14706559479236603,0.43731291588880994
samples_epoch_75.png,"(122, 122)",0.0,1.0,0.46118879318237305,0.545098066329956,0.20032189786434174,0.4343598467309845
samples_epoch_80.png,"(122, 122)",0.0,1.0,0.3365050256252289,0.3960784375667572,0.14681121706962585,0.4362823777565453
samples_epoch_85.png,"(122, 122)",0.0,1.0,0.369409441947937,0.4313725531101227,0.1623409539461136,0.43946074766108917
samples_epoch_90.png,"(122, 122)",0.0,1.0,0.5181587338447571,0.6078431606292725,0.22565633058547974,0.4354965216086124
samples_epoch_95.png,"(122, 122)",0.0,1.0,0.34629055857658386,0.40392157435417175,0.1528121531009674,0.44128303502199556
